MID,IsEdible,CapShape,CapSurface,CapColor,HasBruises,Odor,Gill_IsAttached,GillSpacingIsCrowded,GillSizeBroad,GillColor,StalkShapeIsTapering,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
75,1,4,2,13,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
76,1,4,2,13,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
77,1,4,2,13,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
78,1,4,2,13,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
79,1,4,2,10,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
80,1,4,2,10,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
81,1,4,2,10,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
82,1,4,2,10,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
83,1,4,2,2,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
84,1,4,2,2,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
85,1,4,2,2,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
86,1,4,2,2,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
87,1,4,2,1,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
88,1,4,2,1,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
89,1,4,2,1,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
90,1,4,2,1,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
91,1,4,2,1,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
92,1,5,4,13,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
93,1,5,4,13,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
94,1,5,4,13,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
95,1,5,4,10,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
96,1,5,4,10,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
97,1,5,4,10,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
98,1,5,4,2,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
99,1,5,4,2,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
100,1,5,4,2,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
101,1,5,4,2,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
102,1,5,4,2,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
103,1,5,4,2,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
104,1,5,4,1,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
105,1,5,4,1,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
106,1,5,4,1,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
107,1,5,2,13,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
108,1,5,2,13,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
109,1,5,2,13,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
110,1,5,2,13,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
111,1,5,2,10,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
112,1,5,2,10,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
113,1,5,2,2,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
114,1,5,2,2,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
115,1,5,2,2,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
116,1,5,2,2,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
117,1,5,2,2,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
118,1,5,2,2,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
119,1,5,2,2,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
120,1,5,2,1,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
121,1,5,2,1,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
122,1,5,2,1,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
123,0,1,1,1,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
124,0,1,1,1,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
125,0,1,1,4,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
126,0,1,1,4,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
127,0,1,2,1,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
128,0,3,1,4,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
129,0,3,1,4,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
130,0,4,1,1,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
131,0,4,1,1,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
132,0,4,1,4,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
133,0,4,1,4,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
134,0,4,2,1,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
135,0,4,2,1,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
136,0,4,2,4,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
137,0,5,1,4,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
138,0,5,2,1,0,0,0,0,0,9,0,99,3,2,9,4,9,1,1,9,5,7
139,0,5,2,1,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
140,0,5,2,4,0,0,0,0,0,9,0,99,3,2,9,1,9,1,1,9,5,7
141,0,3,4,2,0,5,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,7
142,0,3,4,2,0,5,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,4
143,0,3,4,2,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,2
144,0,3,4,2,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,4
145,0,3,4,2,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,7
146,0,3,4,2,0,5,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,4
147,0,3,4,2,0,5,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,7
148,0,3,4,2,0,5,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
149,0,3,4,2,0,5,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,2
150,0,3,4,2,0,5,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,4
151,0,3,4,2,0,5,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,2
152,0,3,4,2,0,5,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,4
153,0,3,4,2,0,5,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,7
154,0,3,4,2,0,5,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,4
155,0,3,4,2,0,5,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,4
156,0,3,4,2,0,5,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,7
157,0,3,4,2,0,5,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,2
158,0,3,4,2,0,5,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,4
159,0,3,4,2,0,5,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,2
160,0,3,4,2,0,5,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,7
161,0,3,4,2,0,5,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,4
162,0,3,4,2,0,5,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,7
163,0,3,4,2,0,5,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,2
164,0,3,4,2,0,5,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,7
165,0,3,4,2,0,4,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,2
166,0,3,4,2,0,4,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,4
167,0,3,4,2,0,4,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,2
168,0,3,4,2,0,4,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,7
169,0,3,4,2,0,4,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,2
170,0,3,4,2,0,4,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,4
171,0,3,4,2,0,4,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,7
172,0,3,4,2,0,4,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,2
173,0,3,4,2,0,4,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,4
174,0,3,4,2,0,4,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,7
175,0,3,4,2,0,4,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
176,0,3,4,2,0,4,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,2
177,0,3,4,2,0,4,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,2
178,0,3,4,2,0,4,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,4
179,0,3,4,2,0,4,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,7
180,0,3,4,2,0,4,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,2
181,0,3,4,2,0,4,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,4
182,0,3,4,2,0,4,0,0,0,10,1,99,3,4,13,13,9,1,1,9,5,4
183,0,3,4,2,0,4,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,4
184,0,3,4,2,0,4,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,7
185,0,3,4,2,0,4,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,2
186,0,3,4,2,0,4,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,4
187,0,3,4,2,0,4,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,7
188,0,3,4,2,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,2
189,0,3,4,2,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,4
190,0,3,4,2,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,7
191,0,3,4,2,0,8,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,4
192,0,3,4,2,0,8,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,7
193,0,3,4,2,0,8,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,4
194,0,3,4,2,0,8,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,7
195,0,3,4,2,0,8,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,2
196,0,3,4,2,0,8,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
197,0,3,4,2,0,8,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,7
198,0,3,4,2,0,8,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,2
199,0,3,4,2,0,8,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,4
200,0,3,4,2,0,8,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,4
201,0,3,4,2,0,8,0,0,0,10,1,99,3,4,13,13,9,1,1,9,5,4
202,0,3,4,2,0,8,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,2
203,0,3,4,2,0,8,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,4
204,0,3,4,2,0,8,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,4
205,0,3,4,2,0,8,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,2
206,0,3,4,2,0,8,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,2
207,0,3,4,2,0,8,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,4
208,0,3,4,2,0,8,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,7
209,0,3,4,1,0,5,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,2
210,0,3,4,1,0,5,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,4
211,0,3,4,1,0,5,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,4
212,0,3,4,1,0,5,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,7
213,0,3,4,1,0,5,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,7
214,0,3,4,1,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,2
215,0,3,4,1,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,4
216,0,3,4,1,0,5,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,2
217,0,3,4,1,0,5,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,7
218,0,3,4,1,0,5,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,2
219,0,3,4,1,0,5,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,4
220,0,3,4,1,0,5,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,7
221,0,3,4,1,0,5,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,7
222,0,3,4,1,0,5,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,2
223,0,3,4,1,0,5,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,7
224,0,3,4,1,0,5,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,2
225,0,3,4,1,0,5,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,7
226,0,3,4,1,0,5,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,2
227,0,3,4,1,0,5,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,4
228,0,3,4,1,0,5,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,2
229,0,3,4,1,0,5,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,4
230,0,3,4,1,0,4,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,2
231,0,3,4,1,0,4,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,4
232,0,3,4,1,0,4,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,7
233,0,3,4,1,0,4,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,2
234,0,3,4,1,0,4,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,4
235,0,3,4,1,0,4,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,7
236,0,3,4,1,0,4,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,4
237,0,3,4,1,0,4,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,7
238,0,3,4,1,0,4,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,2
239,0,3,4,1,0,4,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
240,0,3,4,1,0,4,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,7
241,0,3,4,1,0,4,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,2
242,0,3,4,1,0,4,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,7
243,0,3,4,1,0,4,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,4
244,0,3,4,1,0,4,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,7
245,0,3,4,1,0,4,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,4
246,0,3,4,1,0,4,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,7
247,0,3,4,1,0,4,0,0,0,10,1,99,3,4,13,13,9,1,1,9,5,7
248,0,3,4,1,0,4,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,2
249,0,3,4,1,0,4,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,4
250,0,3,4,1,0,4,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,7
251,0,3,4,1,0,4,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,4
252,0,3,4,1,0,4,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,7
253,0,3,4,1,0,4,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,4
254,0,3,4,1,0,4,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,2
255,0,3,4,1,0,4,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,7
256,0,3,4,1,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,2
257,0,3,4,1,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,4
258,0,3,4,1,0,8,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,7
259,0,3,4,1,0,8,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,2
260,0,3,4,1,0,8,0,0,0,10,1,99,4,4,9,13,9,1,1,9,5,4
261,0,3,4,1,0,8,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,4
262,0,3,4,1,0,8,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,7
263,0,3,4,1,0,8,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,2
264,0,3,4,1,0,8,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,4
265,0,3,4,1,0,8,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,7
266,0,3,4,1,0,8,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,2
267,0,3,4,1,0,8,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,7
268,0,3,4,1,0,8,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,2
269,0,3,4,1,0,8,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,4
270,0,3,4,1,0,8,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,7
271,0,3,4,1,0,8,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
272,0,3,4,1,0,8,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,7
273,0,3,4,1,0,8,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,2
274,0,3,4,1,0,8,0,0,0,10,1,99,4,3,13,13,9,1,1,9,5,4
275,0,3,4,1,0,8,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,2
276,0,3,4,1,0,8,0,0,0,10,1,99,3,4,9,9,9,1,1,9,5,4
277,0,3,4,1,0,8,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,2
278,0,3,4,1,0,8,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,4
279,0,3,4,1,0,8,0,0,0,10,1,99,3,4,9,13,9,1,1,9,5,7
280,0,3,4,1,0,8,0,0,0,10,1,99,3,4,13,9,9,1,1,9,5,4
281,0,3,4,1,0,8,0,0,0,10,1,99,3,4,13,13,9,1,1,9,5,4
282,0,3,4,1,0,8,0,0,0,10,1,99,3,4,13,13,9,1,1,9,5,7
283,0,3,4,1,0,8,0,0,0,10,1,99,3,3,9,9,9,1,1,9,5,7
284,0,3,4,1,0,8,0,0,0,10,1,99,3,3,9,13,9,1,1,9,5,4
285,0,3,4,1,0,8,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,2
286,0,3,4,1,0,8,0,0,0,10,1,99,3,3,13,9,9,1,1,9,5,7
287,0,3,4,1,0,8,0,0,0,10,1,99,3,3,13,13,9,1,1,9,5,7
288,0,3,2,2,0,5,0,0,0,10,1,99,4,4,9,9,9,1,1,9,5,4
289,0,3,2,2,0,5,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,2
290,0,3,2,2,0,5,0,0,0,10,1,99,4,4,13,9,9,1,1,9,5,4
291,0,3,2,2,0,5,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,2
292,0,3,2,2,0,5,0,0,0,10,1,99,4,4,13,13,9,1,1,9,5,4
293,0,3,2,2,0,5,0,0,0,10,1,99,4,3,9,9,9,1,1,9,5,2
294,0,3,2,2,0,5,0,0,0,10,1,99,4,3,9,13,9,1,1,9,5,2
295,0,3,2,2,0,5,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,2
296,0,3,2,2,0,5,0,0,0,10,1,99,4,3,13,9,9,1,1,9,5,4
