MUID,Edible,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttached,GillSpacingCrowded,GillSizeBroad,GillColor,StalkShapeEnlarging,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
43,Yes,Flat,Fibrous,Yellow,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
44,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
45,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
46,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
47,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
48,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
49,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
50,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
51,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
52,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
53,Yes,Bell,Smooth,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
54,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
55,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
56,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
57,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
58,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
59,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
60,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
61,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
62,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
63,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
64,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
65,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
66,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
67,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
68,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
69,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
70,Yes,Bell,Smooth,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
71,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
72,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
73,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
74,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
75,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
76,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
77,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
78,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
79,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
80,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
81,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
82,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
83,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
84,Yes,Bell,Smooth,Yellow,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
85,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
86,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
87,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
88,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
89,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
90,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
91,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
92,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
93,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
94,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
95,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
96,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
97,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
98,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
99,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
100,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
101,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
102,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
103,Yes,Bell,Smooth,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
104,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
105,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
106,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
107,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
108,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
109,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
110,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
111,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
112,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
113,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
114,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
115,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
116,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
117,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
118,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
119,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
120,Yes,Bell,Scaly,White,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
121,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
122,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
123,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
124,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
125,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
126,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
127,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
128,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
129,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
130,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
131,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
132,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
133,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
134,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
135,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
136,Yes,Bell,Scaly,White,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
137,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
138,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
139,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
140,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
141,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
142,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
143,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
144,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
145,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
146,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
147,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
148,Yes,Bell,Scaly,Yellow,Yes,Almond,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
149,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
150,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
151,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
152,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
153,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
154,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Gray,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
155,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
156,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
157,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
158,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
159,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Black,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
160,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
161,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
162,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
163,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
164,Yes,Bell,Scaly,Yellow,Yes,Anise,No,No,Yes,Brown,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
165,Yes,Convex,Smooth,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
166,Yes,Convex,Smooth,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
167,Yes,Convex,Smooth,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
168,Yes,Convex,Smooth,White,Yes,Almond,No,No,Yes,White,Yes,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
